7	295	1	295																											
			Wild																											
Ind	Pop	Tax23		Tax26		Tax36		Tax60		Tax86		Tax92		Tax362																
W1	Wild	176	176	251	251	172	172	154	154	153	204	215	215	85	95															
W2	Wild	172	172	223	223	158	174	102	102	208	266	217	217	111	111															
W3	Wild	176	176	223	279	122	186	102	102	153	202	192	215	85	113															
W4	Wild	176	176	281	281	172	172	154	154	153	153	163	163	0	0															
W5	Wild	176	176	209	209	154	205	102	154	210	210	204	215	99	115															
W6	Wild	172	172	223	223	174	174	102	102	200	202	217	268	0	0															
W7	Wild	154	154	235	235	166	174	0	0	204	210	217	217	0	0															
W8	Wild	154	176	223	223	158	174	154	158	210	210	221	221	111	111															
W10	Wild	172	172	205	205	176	205	102	146	266	266	206	215	0	0															
W11	Wild	176	176	209	209	156	156	102	102	153	301	217	217	0	0															
W12	Wild	154	172	209	279	158	186	102	102	266	266	163	268	111	111															
W13	Wild	154	154	209	209	122	156	102	102	202	202	217	217	85	85															
W14	Wild	150	150	261	261	174	176	102	102	266	266	204	270	85	85															
W15	Wild	172	176	209	209	174	201	102	102	266	266	217	231	0	0															
W16	Wild	172	172	223	223	158	205	102	102	266	266	163	163	95	111															
W17	Wild	154	154	237	237	156	205	102	102	202	202	223	268	111	111															
W18	Wild	176	176	223	281	158	176	102	102	208	208	215	215	85	101															
W19	Wild	172	172	223	279	122	158	102	102	153	153	215	215	111	111															
W20	Wild	154	154	205	251	0	0	102	102	202	202	163	268	95	111															
W21	Wild	176	176	223	223	174	176	0	0	202	202	163	163	0	0															
W22	Wild	0	0	251	251	178	205	154	154	200	200	215	215	95	95															
W23	Wild	150	154	251	251	156	205	102	102	202	202	0	278	99	99															
W24	Wild	150	150	223	279	174	174	154	154	202	202	270	270	95	95															
W25	Wild	176	176	205	209	158	174	102	102	202	204	217	268	115	115															
PG1	Wild	0	0	205	205	156	160	102	102	153	153	192	217	0	0															
PG2	Wild	154	154	205	205	156	201	144	144	168	204	217	270	101	101															
PG3	Wild	176	176	237	255	158	176	154	154	0	0	272	272	95	101															
